,voltage,current,power,label,v_norm,I_norm
10,24740,3174,78.52476,18,,
11,25016,3170,79.30072,18,,
12,25296,3175,80.3148,18,,
13,25586,3175,81.23555,18,,
14,25879,3177,82.217583,18,,
15,26174,3181,83.259494,18,,
16,26478,3174,84.041172,18,,
17,26796,3166,84.836136,18,,
18,27118,3163,85.774234,18,,
19,27447,3147,86.375709,18,,
20,27785,3145,87.383825,18,,
21,28131,3148,88.556388,18,,
22,28482,3140,89.43348,18,,
23,28844,3151,90.887444,18,,
24,29220,3152,92.10144,18,,
25,29593,3134,92.744462,18,,
26,29987,3119,93.529453,18,,
27,30387,3106,94.382022,18,,
28,30798,3093,95.258214,18,,
29,31228,3093,96.588204,18,,
30,31663,3099,98.123637,18,,
31,32113,3088,99.164944,18,,
32,32575,3076,100.2007,18,,
33,33047,3060,101.12382,18,,
34,33538,3028,101.553064,18,,
35,34036,2983,101.529388,18,,
36,34558,2949,101.911542,18,,
37,35090,2894,101.55046,18,,
38,35629,2799,99.725571,18,,
39,36178,2622,94.858716,18,,
40,37309,2154,80.363586,18,,
41,37872,1920,72.71424,18,,
42,38452,1666,64.061032,18,,
43,39044,1428,55.754832,18,,
44,39660,1182,46.87812,18,,
45,40291,926,37.309466,18,,
46,40959,648,26.541432,18,,
77,43310,549,23.77719,18,,
78,42572,903,38.442516,19,,
79,41883,1222,51.181026,19,,
80,41217,1533,63.185661,19,,
81,40571,1839,74.610069,19,,
82,39320,2407,94.64324,19,,
83,38681,2723,105.328363,19,,
84,38060,3031,115.35986,19,,
85,37463,3312,124.077456,19,,
86,36867,3488,128.592096,19,,
87,36282,3573,129.635586,19,,
88,35708,3613,129.013004,19,,
89,35157,3630,127.61991,19,,
90,34621,3653,126.470513,19,,
91,34102,3679,125.461258,19,,
92,33597,3709,124.611273,19,,
93,33105,3739,123.779595,19,,
94,32626,3758,122.608508,19,,
95,32159,3754,120.724886,19,,
96,31717,3761,119.287637,19,,
97,31274,3753,117.371322,19,,
98,30848,3762,116.050176,19,,
99,30435,3771,114.770385,19,,
100,30032,3783,113.611056,19,,
101,29641,3807,112.843287,19,,
102,29261,3817,111.689237,19,,
103,28892,3816,110.251872,19,,
104,28523,3809,108.644107,19,,
105,28175,3813,107.431275,19,,
106,27827,3820,106.29914,19,,
107,27488,3833,105.361504,19,,
108,27161,3843,104.379723,19,,
109,26839,3859,103.571701,19,,
110,26519,3849,102.071631,19,,
111,26209,3846,100.799814,19,,
112,25913,3844,99.609572,19,,
113,25620,3850,98.637,19,,
114,25330,3848,97.46984,19,,
132,24773,3861,95.648553,167,,
133,25049,3865,96.814385,167,,
134,25333,3863,97.861379,167,,
135,25625,3857,98.835625,167,,
136,25916,3845,99.64702,167,,
137,26211,3843,100.728873,167,,
138,26519,3833,101.647327,167,,
139,26837,3835,102.919895,167,,
140,27162,3840,104.30208,167,,
141,27489,3846,105.722694,167,,
142,27830,3846,107.03418,167,,
143,28176,3829,107.885904,167,,
144,28520,3810,108.6612,167,,
145,28888,3809,110.034392,167,,
146,29264,3794,111.027616,167,,
147,29641,3797,112.546877,167,,
148,30034,3808,114.369472,167,,
149,30440,3809,115.94596,167,,
150,30853,3817,117.765901,167,,
151,31282,3787,118.464934,167,,
152,31720,3777,119.80644,167,,
153,32164,3751,120.647164,167,,
154,32629,3734,121.836686,167,,
155,33104,3733,123.577232,167,,
156,33603,3731,125.372793,167,,
157,34104,3723,126.969192,167,,
158,34628,3711,128.504508,167,,
159,35162,3677,129.290674,167,,
160,35712,3638,129.920256,167,,
161,36284,3570,129.53388,167,,
162,36869,3478,128.230382,167,,
163,37461,3293,123.359073,167,,
164,38686,2762,106.850732,167,,
165,39329,2464,96.906656,167,,
166,39947,2165,86.485255,167,,
167,40570,1848,74.97336,167,,
168,41223,1546,63.730758,167,,
169,41887,1222,51.185914,167,,
170,42572,905,38.52766,167,,
171,43301,555,24.032055,167,,
199,43297,549,23.770053,168,,
200,42570,891,37.92987,168,,
201,41888,1227,51.396576,168,,
202,41226,1555,64.10643,168,,
203,40571,1846,74.894066,168,,
204,39946,2158,86.203468,168,,
205,38688,2765,106.97232,168,,
206,38072,3042,115.815024,168,,
207,37462,3303,123.736986,168,,
208,36864,3465,127.73376,168,,
209,36280,3555,128.9754,168,,
210,35713,3627,129.531051,168,,
211,35107,3109,109.147663,168,,
212,34576,3160,109.26016,168,,
213,34055,3180,108.2949,168,,
214,33556,3180,106.70808,168,,
215,33063,3208,106.066104,168,,
216,32585,3203,104.369755,168,,
217,32124,3226,103.632024,168,,
218,31676,3255,103.10538,168,,
219,31239,3268,102.089052,168,,
220,30815,3284,101.19646,168,,
221,30404,3281,99.755524,168,,
222,29997,3270,98.09019,168,,
223,29605,3272,96.86756,168,,
224,29230,3270,95.5821,168,,
225,28856,3289,94.907384,168,,
226,28495,3300,94.0335,168,,
227,28142,3307,93.065594,168,,
228,27796,3315,92.14374,168,,
229,27457,3305,90.745385,168,,
230,27131,3310,89.80361,168,,
231,26806,3309,88.701054,168,,
232,26491,3312,87.738192,168,,
233,26186,3317,86.858962,168,,
234,25893,3329,86.197797,168,,
235,25598,3335,85.36933,168,,
236,25305,3329,84.240345,168,,
237,25025,3331,83.358275,168,,
253,24754,3336,82.579344,189,,
254,25026,3330,83.33658,189,,
255,25308,3328,84.225024,189,,
256,25598,3329,85.215742,189,,
257,25890,3331,86.23959,189,,
258,26190,3329,87.18651,189,,
259,26496,3324,88.072704,189,,
260,26810,3316,88.90196,189,,
261,27130,3304,89.63752,189,,
262,27456,3299,90.577344,189,,
263,27795,3293,91.528935,189,,
264,28143,3281,92.337183,189,,
265,28493,3281,93.485533,189,,
266,28853,3290,94.92637,189,,
267,29232,3294,96.290208,189,,
268,29608,3270,96.81816,189,,
269,30003,3261,97.839783,189,,
270,30403,3243,98.596929,189,,
271,30814,3232,99.590848,189,,
272,31243,3232,100.977376,189,,
273,31679,3234,102.449886,189,,
274,32126,3236,103.959736,189,,
275,32592,3225,105.1092,189,,
276,33067,3204,105.946668,189,,
277,33558,3176,106.580208,189,,
278,34051,3132,106.647732,189,,
279,34576,3094,106.978144,189,,
280,35108,3058,107.360264,189,,
281,35653,2985,106.424205,189,,
282,36210,2857,103.45197,189,,
283,36784,2683,98.691472,189,,
284,37365,2375,88.741875,189,,
285,37939,2134,80.961826,189,,
286,38506,1870,72.00622,189,,
287,39102,1616,63.188832,189,,
288,40359,1151,46.453209,189,,
289,41008,827,33.913616,189,,
290,41692,528,22.013376,189,,
321,42119,482,20.301358,189,,
322,41710,520,21.6892,190,,
323,41006,806,33.050836,190,,
324,40344,1089,43.934616,190,,
325,39712,1339,53.174368,190,,
326,39103,1612,63.034036,190,,
327,38510,1872,72.09072,190,,
328,37930,2118,80.33574,190,,
329,37365,2384,89.07816,190,,
330,36783,2621,96.408243,190,,
331,36210,2851,103.23471,190,,
332,35653,2990,106.60247,190,,
333,34573,3102,107.245446,190,,
334,34055,3140,106.9327,190,,
335,33556,3177,106.607412,190,,
336,33063,3210,106.13223,190,,
337,32590,3228,105.20052,190,,
338,32121,3235,103.911435,190,,
339,31680,3228,102.26304,190,,
340,31240,3230,100.9052,190,,
341,30814,3230,99.52922,190,,
342,30402,3240,98.50248,190,,
343,29998,3267,98.003466,190,,
344,29607,3282,97.170174,190,,
345,29230,3286,96.04978,190,,
346,28855,3284,94.75982,190,,
347,28494,3278,93.403332,190,,
348,28144,3276,92.199744,190,,
349,27797,3279,91.146363,190,,
350,27457,3298,90.553186,190,,
351,27131,3302,89.586562,190,,
352,26811,3309,88.717599,190,,
353,26494,3313,87.774622,190,,
354,26189,3308,86.633212,190,,
355,25892,3300,85.4436,190,,
356,25594,3309,84.690546,190,,
357,25306,3312,83.813472,190,,
358,25027,3323,83.164721,190,,
374,24630,6562,161.62206,211,,
375,25183,6566,165.351578,211,,
376,25462,6575,167.41265,211,,
377,25757,6559,168.940163,211,,
378,26048,6545,170.48416,211,,
379,26349,6543,172.401507,211,,
380,26665,6534,174.22911,211,,
381,26982,6539,176.435298,211,,
382,27309,6547,178.792023,211,,
383,27644,6543,180.874692,211,,
384,27983,6549,183.260667,211,,
385,28333,6540,185.29782,211,,
386,28693,6522,187.135746,211,,
387,29058,6509,189.138522,211,,
388,29431,6488,190.948328,211,,
389,29812,6488,193.420256,211,,
390,30222,6495,196.29189,211,,
391,30626,6507,199.283382,211,,
392,31045,6514,202.22713,211,,
393,31480,6504,204.74592,211,,
394,31920,6471,206.55432,211,,
395,32374,6451,208.844674,211,,
396,32846,6426,211.068396,211,,
397,33322,6426,214.127172,211,,
398,33825,6428,217.4271,211,,
399,34337,6429,220.752573,211,,
400,34872,6433,224.331576,211,,
401,35420,6424,227.53808,211,,
402,35979,6391,229.941789,211,,
403,36558,6360,232.50888,211,,
404,37158,6293,233.835294,211,,
405,37780,6265,236.6917,211,,
406,38420,6242,239.81764,211,,
407,39079,6231,243.501249,211,,
408,39762,6195,246.32559,211,,
409,40473,6092,246.561516,211,,
410,41202,5927,244.204254,211,,
411,41922,5573,233.631306,211,,
412,42639,5070,216.17973,211,,
413,43381,4527,196.385787,211,,
414,44157,3995,176.407215,211,,
415,44969,3459,155.547771,211,,
416,45779,2867,131.248393,211,,
417,46588,2296,106.966048,211,,
418,47352,1750,82.866,211,,
419,48136,1194,57.474384,211,,
420,48950,574,28.0973,211,,
436,49089,962,47.223618,211,,
437,48286,1566,75.615876,212,,
438,47519,2161,102.688559,212,,
439,46716,2773,129.543468,212,,
440,45873,3438,157.711374,212,,
441,45050,4054,182.6327,212,,
442,44251,4638,205.236138,212,,
443,43481,5193,225.796833,212,,
444,42731,5724,244.592244,212,,
445,41990,6154,258.40646,212,,
446,41248,6389,263.533472,212,,
447,40521,6533,264.723693,212,,
448,39816,6633,264.099528,212,,
449,39135,6689,261.774015,212,,
450,38471,6734,259.063714,212,,
451,37817,6732,254.584044,212,,
452,37197,6738,250.633386,212,,
453,36598,6756,247.256088,212,,
454,36013,6790,244.52827,212,,
455,35453,6835,242.321255,212,,
456,34907,6868,239.741276,212,,
457,34373,6879,236.451867,212,,
458,33867,6873,232.767891,212,,
459,33364,6863,228.977132,212,,
460,32877,6854,225.338958,212,,
461,32401,6866,222.465266,212,,
462,31949,6890,220.12861,212,,
463,31513,6923,218.164499,212,,
464,31079,6941,215.719339,212,,
465,30658,6939,212.735862,212,,
466,29844,6918,206.460792,212,,
467,29460,6925,204.0105,212,,
468,29086,6936,201.740496,212,,
469,28716,6955,199.71978,212,,
470,28353,6964,197.450292,212,,
471,28008,6978,195.439824,212,,
472,27667,6978,193.060326,212,,
473,27330,6965,190.35345,212,,
474,27004,6962,188.001848,212,,
475,26685,6962,185.78097,212,,
476,26375,6968,183.781,212,,
477,26075,7098,185.08035,212,,
478,25781,7109,183.277129,212,,
479,25488,7117,181.398096,212,,
