,voltage,current,duty
0,26997.0,635.0,624
1,24641.0,831.0,655
2,24487.0,827.0,665
3,25197.0,815.0,648
4,25544.0,808.0,652
5,24491.0,833.0,655
6,25549.0,801.0,659
7,24565.0,830.0,652
8,25519.0,813.0,620
9,24875.0,1015.0,637
10,27000.0,953.0,625
11,25974.0,993.0,629
12,25821.0,1002.0,633
13,26058.0,999.0,646
14,26908.0,952.0,627
15,26525.0,976.0,610
16,26145.0,989.0,625
17,26025.0,999.0,629
18,26780.0,962.0,608
19,25971.0,993.0,630
20,25896.0,998.0,620
21,25707.0,1005.0,624
22,27037.0,953.0,584
23,26275.0,991.0,602
24,26683.0,980.0,632
25,27090.0,958.0,606
26,25818.0,994.0,622
27,26516.0,981.0,630
28,26475.0,982.0,617
29,26473.0,980.0,619
30,26018.0,997.0,628
31,25938.0,1000.0,630
32,25938.0,1007.0,630
33,27224.0,951.0,605
34,25788.0,1001.0,623
35,25857.0,1000.0,630
36,27627.0,904.0,611
37,26901.0,967.0,606
38,25825.0,999.0,613
39,26771.0,967.0,630
40,26645.0,985.0,602
41,25690.0,1005.0,628
42,25465.0,1005.0,653
43,26091.0,994.0,627
44,25691.0,1011.0,616
45,25175.0,862.0,629
46,25131.0,858.0,630
47,25958.0,832.0,649
48,25883.0,843.0,611
49,24990.0,868.0,636
50,25065.0,860.0,654
51,24538.0,874.0,686
52,24883.0,871.0,644
53,25265.0,863.0,651
54,26117.0,822.0,605
55,24867.0,869.0,657
56,25125.0,854.0,650
57,24993.0,859.0,674
58,23970.0,882.0,662
59,25797.0,841.0,634
60,25412.0,849.0,643
61,24287.0,872.0,665
62,25976.0,835.0,623
63,24917.0,864.0,649
64,24797.0,860.0,664
65,24015.0,879.0,676
66,25713.0,846.0,629
67,25962.0,831.0,631
68,25679.0,845.0,634
69,26192.0,818.0,641
70,24836.0,860.0,669
71,25357.0,849.0,642
72,25522.0,853.0,654
73,24549.0,873.0,660
74,25285.0,847.0,646
75,25365.0,853.0,650
76,25400.0,850.0,643
77,25944.0,835.0,629
78,24613.0,869.0,664
79,29973.0,1646.0,567
80,28570.0,1715.0,562
81,30007.0,1640.0,526
82,29220.0,1694.0,546
83,29015.0,1708.0,569
84,30284.0,1625.0,561
85,28776.0,1707.0,560
86,29070.0,1700.0,564
87,29175.0,1698.0,562
88,29112.0,1698.0,562
89,29313.0,1677.0,559
90,29667.0,1800.0,573
91,30141.0,1781.0,535
92,28638.0,1835.0,559
93,30261.0,1766.0,550
94,28643.0,1836.0,564
95,30205.0,1778.0,523
96,29143.0,1822.0,543
97,30137.0,1769.0,564
98,30319.0,1763.0,561
99,29457.0,1810.0,546
100,29759.0,1820.0,551
101,29939.0,1820.0,548
102,31058.0,1729.0,548
103,30878.0,1742.0,542
104,29717.0,1829.0,555
105,30090.0,1814.0,525
106,29406.0,1848.0,538
107,29418.0,1841.0,538
108,29725.0,1826.0,543
109,29646.0,1836.0,555
110,29152.0,1857.0,543
111,30371.0,1791.0,560
112,30429.0,1780.0,559
113,28949.0,1862.0,565
114,30773.0,1756.0,539
115,29408.0,1840.0,538
116,30545.0,1773.0,557
117,30373.0,1795.0,520
118,29570.0,1841.0,535
119,29449.0,1838.0,570
120,30420.0,1778.0,559
121,30434.0,1791.0,559
122,28945.0,1862.0,549
123,29106.0,1853.0,556
124,30153.0,1802.0,554
125,30363.0,1791.0,560
126,28905.0,1864.0,549
127,28346.0,1875.0,579
128,30941.0,1740.0,530
129,29560.0,1830.0,555
130,30781.0,1754.0,548
131,28592.0,1858.0,559
132,29395.0,1837.0,558
133,29368.0,1846.0,558
134,30043.0,1806.0,542
