,v_in,v_out
0,23205.0,3193.0
1,22973.0,3195.0
2,22733.0,3197.0
3,22970.0,3192.0
4,23208.0,3192.0
5,23443.0,3194.0
6,23695.0,3189.0
7,23952.0,3192.0
8,24208.0,3188.0
9,24472.0,3183.0
10,24740.0,3174.0
11,25016.0,3170.0
12,25296.0,3175.0
13,25586.0,3175.0
14,25879.0,3177.0
15,26174.0,3181.0
16,26478.0,3174.0
17,26796.0,3166.0
18,27118.0,3163.0
19,27447.0,3147.0
20,27785.0,3145.0
21,28131.0,3148.0
22,28482.0,3140.0
23,28844.0,3151.0
24,29220.0,3152.0
25,29593.0,3134.0
26,29987.0,3119.0
27,30387.0,3106.0
28,30798.0,3093.0
29,31228.0,3093.0
30,31663.0,3099.0
31,32113.0,3088.0
32,32575.0,3076.0
33,33047.0,3060.0
34,33538.0,3028.0
35,34036.0,2983.0
36,34558.0,2949.0
37,35090.0,2894.0
38,35629.0,2799.0
39,36178.0,2622.0
40,37309.0,2154.0
41,37872.0,1920.0
42,38452.0,1666.0
43,39044.0,1428.0
44,39660.0,1182.0
45,40291.0,926.0
46,40959.0,648.0
47,41657.0,362.0
48,42353.0,71.0
49,42465.0,34.0
50,42465.0,34.0
51,43602.0,76.0
52,44379.0,37.0
53,44379.0,36.0
54,44377.0,34.0
55,44376.0,34.0
56,44378.0,34.0
57,44379.0,35.0
58,44379.0,32.0
59,44378.0,33.0
60,44377.0,31.0
61,44379.0,32.0
62,44375.0,33.0
63,44377.0,30.0
64,44377.0,32.0
65,44380.0,34.0
66,44378.0,34.0
67,44379.0,33.0
68,44377.0,34.0
69,44379.0,35.0
70,44380.0,35.0
71,44378.0,36.0
72,44377.0,37.0
73,44378.0,32.0
74,44381.0,34.0
75,44379.0,36.0
76,44252.0,104.0
77,43310.0,549.0
78,42572.0,903.0
79,41883.0,1222.0
80,41217.0,1533.0
81,40571.0,1839.0
82,39320.0,2407.0
83,38681.0,2723.0
84,38060.0,3031.0
85,37463.0,3312.0
86,36867.0,3488.0
87,36282.0,3573.0
